class,cliff,zov,objA,objB,scene
同物過切,3.7480586530769244,0.9615384615384616,cracker_box,cracker_box,n3_scene0028
並排有縫,176.77044247154123,1.0,cracker_box,bleach_cleanser,n3_scene0028
同物過切,15.288661256332658,0.0,bleach_cleanser,bleach_cleanser,n3_scene0028
並排有縫,163.986758968946,1.0,cracker_box,bleach_cleanser,n3_scene0028
同物過切,5.7475525273013695,1.0,rubiks_cube,rubiks_cube,n3_scene0029
同物過切,7.0701804504643695,1.0,power_drill,power_drill,n3_scene0030
並排有縫,66.02776820439254,1.0,cups,apple,n3_scene0030
並排有縫,89.93565462801945,0.1111111111111111,apple,cups,n3_scene0030
並排有縫,73.15583779588573,0.6666666666666666,apple,cups,n3_scene0030
同物過切,7.292522515541383,1.0,power_drill,power_drill,n3_scene0030
同物過切,4.498130277193315,0.6666666666666666,knife,knife,n3_scene0031
並排有縫,137.33970252171918,0.0,tomato_soup_can,adjustable_wrench,n3_scene0032
並排有縫,141.2098915089838,1.0,adjustable_wrench,tomato_soup_can,n3_scene0032
並排有縫,95.93678586655359,1.0,tomato_soup_can,bowl,n3_scene0032
同物過切,44.74821651150879,0.25,tomato_soup_can,tomato_soup_can,n3_scene0032
並排有縫,140.32552460657038,1.0,lemon,foam_brick,n3_scene0033
同物過切,40.82977945273891,0.5714285714285714,wood_block,wood_block,n3_scene0033
並排有縫,12.068131722849873,0.0,wood_block,foam_brick,n3_scene0033
同物過切,6.789763263490849,1.0,wood_block,wood_block,n3_scene0033
同物過切,9.933130632395681,0.7142857142857143,wood_block,wood_block,n3_scene0033
並排有縫,165.67458860661822,1.0,cups,pitcher_base,n3_scene0034
同物過切,41.762132329253134,1.0,pitcher_base,pitcher_base,n3_scene0034
並排有縫,209.493721924873,0.0,cups,pitcher_base,n3_scene0034
並排有縫,209.2680310797442,0.0,cups,pitcher_base,n3_scene0034
同物過切,105.36606451346712,1.0,pitcher_base,pitcher_base,n3_scene0034
同物過切,173.50241682442913,1.0,pitcher_base,pitcher_base,n3_scene0034
同物過切,5.560845298087158,1.0,fork,fork,n3_scene0036
同物過切,14.40706084968376,1.0,large_clamp,large_clamp,n3_scene0036
同物過切,42.15098837458001,0.23076923076923078,sugar_box,sugar_box,n3_scene0037
同物過切,6.317537845293958,0.8461538461538461,sugar_box,sugar_box,n3_scene0037
同物過切,48.504181837747154,0.06666666666666667,sugar_box,sugar_box,n3_scene0037
並排有縫,240.76475475344589,0.0,sugar_box,nine_hole_peg_test,n3_scene0037
並排有縫,11.981282628876988,0.0,sugar_box,nine_hole_peg_test,n3_scene0037
並排有縫,240.31945307891763,1.0,sugar_box,nine_hole_peg_test,n3_scene0037
並排有縫,13.373726492915129,1.0,sugar_box,nine_hole_peg_test,n3_scene0037
同物過切,5.631006005133954,1.0,nine_hole_peg_test,nine_hole_peg_test,n3_scene0037
同物過切,7.259381108486041,0.2,potted_meat_can,potted_meat_can,n3_scene0037
同物過切,51.41385360445013,1.0,sugar_box,sugar_box,n3_scene0037
同物過切,9.325592042994879,0.2,potted_meat_can,potted_meat_can,n3_scene0037
同物過切,6.492444213195403,1.0,tuna_fish_can,tuna_fish_can,n3_scene0039
同物過切,6.122399784965649,0.7142857142857143,mug,mug,n3_scene0040
同物過切,7.598901302535543,1.0,orange,orange,n3_scene0040
